epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,6436.36,1.9537,1.73951,2.36973,0.89377,0.91979,0.95132,0.77662,1.32555,0.91236,1.99474,0.00067213,0.00067213,0.00067213
109,6498.13,1.94816,1.76041,2.3745,0.90224,0.92049,0.95293,0.76409,1.34595,0.91983,2.02208,0.000665057,0.000665057,0.000665057
110,6557.06,1.93866,1.7214,2.36114,0.892,0.9187,0.94933,0.75991,1.36066,0.93042,2.02582,0.000657983,0.000657983,0.000657983
111,6615.84,1.94426,1.72766,2.36503,0.87554,0.93749,0.94974,0.7612,1.37308,0.9531,2.03716,0.000650909,0.000650909,0.000650909
112,6674.81,1.9473,1.70289,2.34741,0.89005,0.92955,0.94858,0.77293,1.35575,0.90802,2.01601,0.000643836,0.000643836,0.000643836
113,6733.27,1.90422,1.67399,2.331,0.89923,0.92612,0.95269,0.77159,1.3537,0.90511,2.01831,0.000636762,0.000636762,0.000636762
114,6793.45,1.89584,1.72543,2.33732,0.90723,0.90783,0.96047,0.78915,1.31749,0.85974,1.99501,0.000629689,0.000629689,0.000629689
115,6851.32,1.90655,1.6499,2.33146,0.90379,0.90322,0.95489,0.77759,1.31519,0.92346,1.99809,0.000622615,0.000622615,0.000622615
116,6909.97,1.90726,1.64516,2.3327,0.90461,0.90261,0.94961,0.78124,1.30646,0.90266,1.99213,0.000615542,0.000615542,0.000615542
117,6968.42,1.89093,1.66652,2.3382,0.88752,0.9153,0.94883,0.78561,1.30241,0.89282,1.97836,0.000608468,0.000608468,0.000608468
118,7028.57,1.88156,1.64013,2.31749,0.88724,0.90126,0.94166,0.77183,1.28481,0.94001,1.97195,0.000601395,0.000601395,0.000601395
119,7086.9,1.86753,1.62358,2.31216,0.85909,0.92595,0.94583,0.77821,1.2982,0.92091,1.98311,0.000594321,0.000594321,0.000594321
